Batch,Battery,CNN_MAE,CNN_MAPE,CNN_MSE,LSTM_MAE,LSTM_MAPE,LSTM_MSE,GRU_MAE,GRU_MAPE,GRU_MSE,MLP_MAE,MLP_MAPE,MLP_MSE,Attention_MAE,Attention_MAPE,Attention_MSE
1,1,10.829,11.426,0.277,19.277,21.233,0.641,20.827,22.876,0.686,5.373,5.802,0.052,5.628,6.108,0.051
1,2,8.55,9.435,0.122,21.845,24.453,0.867,25.598,28.398,1.015,9.428,10.575,0.154,12.511,13.586,0.209
1,3,8.448,9.321,0.138,19.733,22.476,0.835,22.992,25.612,0.879,10.596,11.982,0.216,12.012,13.54,0.308
1,4,7.323,7.968,0.081,20.319,22.874,0.848,21.957,24.656,0.911,3.952,4.301,0.029,9.66,10.726,0.166
1,5,14.256,15.154,0.245,21.102,23.75,0.858,21.502,24.335,0.923,5.113,5.555,0.039,16.382,18.275,0.634
1,6,5.794,6.338,0.049,19.86,22.293,0.779,20.7,23.294,0.844,4.351,4.718,0.029,5.344,5.806,0.046
1,7,32.641,35.37,1.179,22.725,25.305,0.904,23.745,26.509,0.968,9.821,10.498,0.115,15.171,16.254,0.283
1,8,19.534,21.191,0.458,18.926,21.128,0.699,20.962,23.346,0.791,13.74,15.135,0.245,10.584,11.736,0.189
2,1,,,,12.86,13.581,0.222,15.384,16.378,0.354,10.45,11.308,0.145,10.81,11.696,0.16
2,2,,,,13.894,14.537,0.268,13.774,14.583,0.276,18.932,20.183,0.423,19.145,20.483,0.486
2,3,,,,23.397,26.579,1.408,36.86,40.441,2.087,22.121,23.963,1.019,25.188,27.393,1.094
2,4,,,,14.955,16.122,0.294,16.804,18.261,0.375,16.549,18.167,0.368,17.655,19.299,0.429
2,5,,,,16.356,17.702,0.343,16.82,18.5,0.393,8.998,9.621,0.112,10.205,11.042,0.135
2,6,,,,12.741,13.679,0.212,11.77,12.727,0.216,8.535,9.232,0.119,8.601,9.293,0.132
2,7,,,,14.422,15.64,0.265,13.582,15.107,0.327,8.43,8.839,0.109,9.184,9.793,0.125
2,8,,,,17.419,18.837,0.446,17.205,18.759,0.448,7.449,7.983,0.085,6.929,7.461,0.081
2,9,,,,29.61,32.209,1.051,33.907,36.792,1.354,18.098,20.249,0.448,17.503,19.534,0.422
2,10,,,,28.159,31.204,1.109,28.413,31.324,1.055,18.247,19.514,0.451,19.407,20.73,0.569
2,11,,,,25.163,28.203,1.004,24.964,27.841,0.893,12.074,13.0,0.255,11.324,12.175,0.249
2,12,,,,20.989,22.77,0.569,25.613,27.782,0.818,5.739,6.355,0.057,5.142,5.665,0.041
2,13,,,,37.187,39.723,1.603,37.908,40.529,1.689,5.764,6.196,0.051,9.081,9.797,0.097
2,14,,,,26.409,29.818,1.179,25.069,28.184,0.967,8.474,9.177,0.128,8.613,9.464,0.125
2,15,,,,31.387,35.869,1.813,28.781,32.828,1.469,11.484,12.797,0.195,8.882,9.904,0.134
3,1,,,,29.54,32.868,1.646,29.739,32.905,1.531,14.563,16.053,0.314,15.561,17.009,0.321
3,2,,,,30.366,33.581,1.637,32.928,35.869,1.567,7.291,8.062,0.092,6.967,7.394,0.083
3,3,,,,24.251,26.588,1.129,39.211,41.993,1.804,8.048,8.893,0.139,10.616,11.719,0.238
3,4,,,,30.307,33.091,1.474,32.042,34.55,1.386,7.373,8.038,0.088,8.138,8.754,0.096
3,5,,,,27.902,31.105,1.604,27.805,30.792,1.451,7.923,8.411,0.079,8.239,8.767,0.093
3,6,,,,25.615,28.404,1.262,25.066,27.644,1.112,4.898,5.26,0.039,12.113,13.129,0.261
3,7,,,,23.31,25.882,1.226,22.137,24.357,0.987,8.33,8.909,0.091,10.982,11.868,0.183
3,8,,,,23.228,25.509,1.08,19.73,21.743,0.729,4.347,4.683,0.032,4.599,4.938,0.034
4,1,,,,25.554,28.59,1.257,28.13,31.211,1.331,17.699,19.624,0.457,16.927,18.768,0.417
4,2,,,,25.604,28.267,1.337,28.362,31.021,1.333,6.628,7.354,0.107,7.48,8.298,0.129
4,3,,,,29.283,32.353,1.489,30.62,33.7,1.51,7.548,8.39,0.125,7.524,8.14,0.092
4,4,,,,26.406,28.997,1.209,26.472,29.113,1.215,20.391,21.734,0.47,19.889,21.113,0.451
4,5,,,,19.922,22.285,0.882,20.48,22.905,0.909,7.293,7.832,0.079,6.718,7.223,0.065
4,6,,,,19.269,21.311,0.864,19.915,22.013,0.878,5.947,6.492,0.071,6.088,6.644,0.072
4,7,,,,25.153,28.115,1.229,28.651,31.671,1.376,8.335,9.011,0.092,7.639,8.263,0.082
4,8,,,,21.444,23.904,1.02,22.092,24.63,1.053,7.801,8.468,0.094,7.465,8.161,0.098
5,1,,,,32.537,36.345,1.75,32.538,36.383,1.768,12.529,13.579,0.28,11.297,12.279,0.243
5,2,,,,32.444,35.762,1.677,33.032,36.344,1.682,12.919,14.111,0.252,17.613,19.161,0.445
5,3,,,,36.442,40.919,2.182,37.422,41.804,2.18,13.545,15.173,0.311,15.072,16.878,0.391
5,4,,,,38.197,42.6,2.364,38.889,43.342,2.434,11.367,12.363,0.251,9.699,10.619,0.239
5,5,,,,37.87,42.807,2.413,37.5,42.576,2.498,14.719,16.411,0.353,14.965,16.592,0.385
5,6,,,,35.413,39.605,2.054,36.528,40.687,2.072,10.444,11.449,0.228,10.88,11.817,0.219
5,7,,,,34.869,38.568,1.873,35.11,38.901,1.938,16.04,17.352,0.369,18.226,19.573,0.518
5,8,,,,39.43,45.13,2.89,39.417,45.182,2.95,13.693,15.106,0.356,13.306,14.605,0.334
6,1,,,,34.756,38.062,1.962,34.759,38.071,1.973,15.595,17.398,0.609,14.573,16.298,0.558
6,2,,,,25.048,27.463,1.198,25.483,27.863,1.191,14.822,16.117,0.414,12.68,13.776,0.317
6,3,,,,24.312,27.2,1.522,24.205,27.088,1.524,13.018,14.421,0.378,12.725,14.08,0.341
6,4,,,,28.903,32.029,1.647,28.376,31.503,1.638,13.473,15.033,0.452,12.433,13.832,0.385
6,5,,,,29.502,32.624,1.323,29.164,32.334,1.304,67.331,73.534,4.854,61.448,67.09,4.167
6,6,,,,36.643,39.691,2.009,38.002,41.029,2.061,37.578,39.422,1.606,40.734,42.686,1.93
6,7,,,,22.641,25.031,1.184,22.871,25.253,1.186,10.504,11.405,0.242,8.641,9.418,0.181
6,8,,,,23.941,26.268,1.169,24.094,26.419,1.183,10.326,11.191,0.251,9.318,10.142,0.207
